no,offer date,security code,offer price,opening price,fileprice min,fileprice max,industry,founding year,trading unit,total offering,primary offering,secondary offering,over allotment,OTC dummy,market dummy,Nomura dummy,Daiwa dummy,Nikko dummy,Mizuho dummy,SBI dummy
228,20141222,9517,1170,1301,1120,1170,20,1999,100,4600000,4000000,0,600000,0,1,1,0,0,0,0
229,20141224,3905,520,900,460,520,25,2000,100,2541500,850000,1360000,331500,0,1,0,1,0,0,0
230,20141224,3221,2640,3415,2490,2640,27,1985,100,431200,225000,150000,56200,0,1,1,0,0,0,0
231,20141224,3199,640,680,540,640,27,1949,100,2771500,1400000,1010000,361500,0,0,0,0,0,1,0
232,20141225,6033,1400,5550,1320,1400,33,2005,100,287500,250000,0,37500,0,1,0,1,0,0,0
233,20141225,3904,560,1803,530,560,25,2005,100,1585800,989000,390000,206800,0,1,0,1,0,0,0
234,20141225,7815,2180,2005,1980,2180,19,1947,100,520000,100000,360000,60000,0,0,0,0,0,0,0
235,20141226,6034,800,3275,750,800,33,2000,100,839500,480000,250000,109500,0,1,0,1,0,0,0
236,20150212,6036,2120,3160,2000,2120,33,1993,100,920000,600000,200000,120000,0,1,0,0,0,0,0
237,20150218,6037,1770,2700,1600,1770,33,2005,100,770500,600000,70000,100500,0,1,0,1,0,0,0
238,20150218,3454,2040,2090,1920,2040,32,2004,100,2875000,1300000,1200000,375000,0,1,1,0,0,0,0
239,20150219,3906,2800,6040,2600,2800,25,2005,100,355100,200000,108800,46300,0,1,0,0,0,0,1
240,20150220,1384,460,501,430,460,1,1949,100,2530000,1300000,900000,330000,0,0,1,0,0,0,0
241,20150223,3907,4900,9900,4200,4900,25,1999,100,632500,270000,280000,82500,0,1,0,0,0,1,0
242,20150317,3910,3500,15120,3300,3500,25,1989,100,161000,80000,60000,21000,0,1,0,0,0,0,0
243,20150317,3908,3620,8600,3260,3620,25,2001,100,187400,83400,79600,24400,0,1,0,0,1,0,0
